DATE	Population	PopOver16	LaborForce	Unemployed	CPI	CPIexFE	PCE	PCEexFE	GS1	GS5	GS10
1985-12-01	239558	179112	115780	7717	109.500	111.400	53.900	54.847	7.67	8.73	9.26
1986-01-01	239713	179670	115431	8472	109.900	111.900	54.148	55.143	7.73	8.68	9.19
1986-02-01	239858	179821	115725	9041	109.700	112.200	54.148	55.286	7.61	8.34	8.70
1986-03-01	240011	179985	116309	8667	109.100	112.500	54.029	55.454	7.03	7.46	7.78
1986-04-01	240183	180148	116317	8115	108.700	112.900	53.918	55.554	6.44	7.05	7.30
1986-05-01	240365	180311	117199	8158	109.000	113.100	54.017	55.649	6.65	7.52	7.71
1986-06-01	240555	180503	119644	8775	109.400	113.400	54.218	55.816	6.73	7.64	7.80
1986-07-01	240753	180682	120303	8471	109.500	113.800	54.231	55.917	6.27	7.06	7.30
1986-08-01	240961	180828	119471	7955	109.600	114.200	54.300	56.032	5.93	6.80	7.17
1986-09-01	241171	180997	118244	8015	110.000	114.600	54.477	56.216	5.77	6.92	7.45
1986-10-01	241371	181186	118699	7842	110.200	115.000	54.575	56.407	5.72	6.83	7.43
1986-11-01	241544	181363	118623	7872	110.400	115.300	54.673	56.526	5.80	6.76	7.25
1986-12-01	241702	181547	118049	7461	110.800	115.600	54.746	56.599	5.87	6.67	7.11
1987-01-01	241857	181827	117703	8620	111.400	115.900	55.002	56.733	5.78	6.64	7.08
1987-02-01	242005	181998	117967	8503	111.800	116.200	55.195	56.847	5.96	6.79	7.25
1987-03-01	242166	182179	118353	8124	112.200	116.600	55.341	57.015	6.03	6.79	7.25
1987-04-01	242338	182344	118347	7306	112.700	117.300	55.547	57.257	6.50	7.57	8.02
1987-05-01	242516	182533	119695	7318	113.000	117.700	55.688	57.417	7.00	8.26	8.61
1987-06-01	242706	182703	121153	7655	113.500	117.900	55.899	57.575	6.80	8.02	8.40
1987-07-01	242908	182885	122105	7453	113.800	118.300	56.028	57.724	6.68	8.01	8.45
1987-08-01	243118	183002	121614	7088	114.300	118.700	56.250	57.918	7.03	8.32	8.76
1987-09-01	243335	183161	119884	6857	114.700	119.200	56.439	58.148	7.67	8.94	9.42
1987-10-01	243543	183311	120744	6845	115.000	119.800	56.618	58.396	7.59	9.08	9.52
1987-11-01	243724	183470	120611	6802	115.400	120.100	56.726	58.519	6.96	8.35	8.86
1987-12-01	243895	183620	120206	6526	115.600	120.400	56.831	58.642	7.17	8.45	8.99
1988-01-01	244056	183822	119742	7603	116.000	120.900	57.051	58.919	6.99	8.18	8.67
1988-02-01	244205	183969	119942	7482	116.200	121.200	57.135	59.040	6.64	7.71	8.21
1988-03-01	244362	184111	119957	7090	116.500	121.700	57.332	59.292	6.71	7.83	8.37
1988-04-01	244528	184232	120264	6359	117.200	122.300	57.611	59.581	7.01	8.19	8.72
1988-05-01	244708	184374	120775	6553	117.500	122.700	57.778	59.784	7.40	8.58	9.09
1988-06-01	244914	184562	123028	6819	118.000	123.200	58.024	60.036	7.49	8.49	8.92
1988-07-01	245131	184729	123888	6823	118.500	123.600	58.306	60.281	7.75	8.66	9.06
1988-08-01	245352	184830	123396	6659	119.000	124.000	58.479	60.430	8.17	8.94	9.26
1988-09-01	245579	184962	121842	6368	119.500	124.700	58.764	60.755	8.09	8.69	8.98
1988-10-01	245789	185114	122432	6182	119.900	125.200	58.956	60.986	8.11	8.51	8.80
1988-11-01	245970	185244	122639	6325	120.300	125.600	59.092	61.153	8.48	8.79	8.96
1988-12-01	246140	185402	122120	6142	120.700	126.000	59.277	61.356	8.99	9.09	9.11
1989-01-01	246301	185644	122095	7309	121.200	126.500	59.581	61.666	9.05	9.15	9.09
1989-02-01	246454	185777	121906	6883	121.600	126.900	59.779	61.823	9.25	9.27	9.17
1989-03-01	246626	185897	122223	6378	122.200	127.400	60.002	62.008	9.57	9.51	9.36
1989-04-01	246814	186024	122576	6229	123.100	127.800	60.402	62.215	9.36	9.30	9.18
1989-05-01	247010	186181	123196	6156	123.700	128.300	60.622	62.401	8.98	8.91	8.86
1989-06-01	247228	186329	125569	6850	124.100	128.800	60.755	62.567	8.44	8.29	8.28
1989-07-01	247458	186483	126238	6736	124.500	129.200	60.900	62.728	7.89	7.83	8.02
1989-08-01	247695	186598	125444	6352	124.500	129.500	60.907	62.816	8.18	8.09	8.11
1989-09-01	247942	186726	123828	6330	124.800	129.900	61.043	63.034	8.22	8.17	8.19
1989-10-01	248174	186871	124416	6222	125.400	130.600	61.281	63.262	7.99	7.97	8.01
1989-11-01	248380	187017	124664	6495	125.900	131.100	61.415	63.430	7.77	7.81	7.87
1989-12-01	248569	187165	123998	6300	126.300	131.600	61.593	63.611	7.72	7.75	7.84
1990-01-01	248743	188413	124358	7413	127.500	132.100	62.060	63.856	7.92	8.12	8.21
1990-02-01	248920	188516	124487	7296	128.000	132.700	62.333	64.166	8.11	8.42	8.47
1990-03-01	249146	188630	124838	6852	128.600	133.500	62.568	64.474	8.35	8.60	8.59
1990-04-01	249436	188778	124837	6620	128.900	134.000	62.699	64.666	8.40	8.77	8.79
1990-05-01	249707	188913	125682	6533	129.100	134.400	62.840	64.864	8.32	8.74	8.76
1990-06-01	249990	189058	127407	6884	129.900	135.100	63.118	65.116	8.10	8.43	8.48
1990-07-01	250285	189188	128019	7137	130.500	135.800	63.274	65.280	7.94	8.33	8.47
1990-08-01	250595	189342	127105	7008	131.600	136.600	63.695	65.552	7.78	8.44	8.75
1990-09-01	250904	189528	125785	7003	132.500	137.100	64.086	65.781	7.76	8.51	8.89
1990-10-01	251201	189710	126067	6892	133.400	137.600	64.453	66.004	7.55	8.33	8.72
1990-11-01	251486	189872	125858	7396	133.700	138.000	64.534	66.083	7.31	8.02	8.39
1990-12-01	251758	190017	125635	7525	134.200	138.600	64.595	66.176	7.05	7.73	8.08
1991-01-01	252012	190163	124623	8787	134.700	139.500	64.840	66.506	6.64	7.70	8.09
1991-02-01	252253	190271	125061	9121	134.800	140.200	64.873	66.689	6.27	7.47	7.85
1991-03-01	252507	190381	125435	8995	134.800	140.500	64.887	66.828	6.40	7.77	8.11
1991-04-01	252778	190517	125698	8226	135.100	140.900	65.004	66.961	6.24	7.70	8.04
1991-05-01	253060	190650	125863	8435	135.600	141.300	65.274	67.229	6.13	7.70	8.07
1991-06-01	253350	190800	128143	8992	136.000	141.800	65.384	67.374	6.36	7.94	8.28
