"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1967-01-01			128909	32.9	34.2	4.75	4.58	4.7		75320	3159		17.193	17.695		197814	
1967-02-01			129032	33	34.2	4.71	4.63	4.74		75689	3184		17.213	17.727		197965	
1967-03-01			129190	33	34.3	4.35	4.54	4.54		75514	2954		17.222	17.754		198122	
1967-04-01			129344	33.1	34.4	4.11	4.59	4.51		76109	2664		17.251	17.803		198287	
1967-05-01			129515	33.1	34.5	4.15	4.85	4.75		76096	2458		17.284	17.842		198452	
1967-06-01			129722	33.3	34.6	4.48	5.02	5.01		79021	3628		17.339	17.887		198627	
1967-07-01			129918	33.4	34.7	5.01	5.16	5.23		79469	3249		17.398	17.948		198812	
1967-08-01			130187	33.5	34.9	5.13	5.28	5.31		79112	2942		17.452	18.003		199012	
1967-09-01			130392	33.6	35	5.24	5.3	5.4		77527	2895		17.505	18.067		199212	
1967-10-01			130582	33.7	35.1	5.37	5.48	5.57		78132	2952		17.554	18.134		199405	
1967-11-01			130754	33.9	35.2	5.61	5.75	5.78		78121	2903		17.612	18.192		199578	
1967-12-01			130936	34	35.4	5.71	5.7	5.75		78057	2720		17.64	18.237		199733	
1968-01-01			131112	34.1	35.5	5.43	5.53	5.54		76346	3074		17.722	18.318		199864	
1968-02-01			131277	34.2	35.7	5.41	5.56	5.59		77401	3287		17.794	18.397		199988	
1968-03-01			131412	34.3	35.8	5.58	5.74	5.76		77446	2929		17.852	18.47		200132	
1968-04-01			131553	34.4	35.9	5.71	5.64	5.69		77634	2491		17.908	18.538		200285	
1968-05-01			131712	34.5	36	6.14	5.87	6.04		78235	2304		17.974	18.608		200449	
1968-06-01			131872	34.7	36.2	5.98	5.72	5.85		80888	3615		18.032	18.681		200621	
1968-07-01			132053	34.9	36.4	5.65	5.5	5.6		80965	3217		18.087	18.743		200802	
1968-08-01			132251	35	36.5	5.43	5.42	5.5		80203	2772		18.161	18.816		200997	
1968-09-01			132446	35.1	36.7	5.45	5.46	5.48		78546	2607		18.224	18.892		201193	
1968-10-01			132617	35.3	36.9	5.57	5.58	5.55		78875	2510		18.304	18.969		201378	
1968-11-01			132903	35.4	37.1	5.75	5.7	5.66		79184	2576		18.366	19.041		201544	
1968-12-01			133120	35.6	37.2	6.19	6.03	6.12		79117	2418		18.404	19.098		201691	
1969-01-01			133324	35.7	37.3	6.34	6.04	6.25		78232	2875		18.476	19.17		201821	
1969-02-01			133465	35.8	37.6	6.41	6.19	6.34		79103	2923		18.523	19.236		201952	
1969-03-01			133639	36.1	37.8	6.34	6.3	6.41		79267	2747		18.61	19.326		202092	
1969-04-01			133821	36.3	38.1	6.26	6.17	6.3		79619	2542		18.692	19.4		202246	
1969-05-01			134027	36.4	38.1	6.42	6.32	6.54		79565	2300		18.767	19.478		202419	
1969-06-01			134213	36.6	38.3	7.04	6.57	6.75		82357	3399		18.858	19.545		202592	
1969-07-01			134414	36.8	38.5	7.6	6.72	7.01		82797	3182		18.941	19.636		202777	
1969-08-01			134597	36.9	38.7	7.54	6.69	7.03		82516	2870		18.993	19.691		202984	
1969-09-01			134774	37.1	38.9	7.82	7.16	7.57		80984	2958		19.072	19.77		203196	
1969-10-01			135012	37.3	39.1	7.64	7.1	7.51		81511	2840		19.137	19.855		203401	
1969-11-01			135239	37.5	39.2	7.89	7.14	7.53		81427	2711		19.22	19.931		203588	
1969-12-01			135489	37.7	39.4	8.17	7.65	7.96		81416	2627		19.308	20.005		203762	
1970-01-01			135713	37.9	39.6	8.1	7.79	8.17		80719	3406		19.377	20.071		203929	
1970-02-01			135957	38.1	39.8	7.59	7.24	7.82		81283	3794		19.454	20.148		204082	
1970-03-01			136179	38.3	40.1	6.97	7.07	7.21		81689	3732		19.502	20.223		204246	
1970-04-01			136416	38.5	40.4	7.06	7.39	7.5		81960	3552		19.601	20.303		204504	
1970-05-01			136686	38.6	40.5	7.75	7.91	7.97		81758	3385		19.663	20.375		204719	
1970-06-01			136928	38.8	40.8	7.55	7.84	7.85		84087	4671		19.714	20.448		204941	
1970-07-01			137196	38.9	40.9	7.1	7.46	7.59		84857	4514		19.786	20.526		205174	
1970-08-01			137455	39	41.1	6.98	7.53	7.57		84191	4226		19.838	20.597		205418	
1970-09-01			137717	39.2	41.3	6.73	7.39	7.29		82641	4300		19.927	20.683		205664	
1970-10-01			137988	39.4	41.5	6.43	7.33	7.12		83288	4269		20.026	20.785		205906	
1970-11-01			138264	39.6	41.8	5.51	6.84	6.47		83478	4618		20.105	20.892		206131	
1970-12-01			138529	39.8	42	5	6.39	5.95		83301	4650		20.194	20.997		206352	
1971-01-01			138795	39.9	42.1	4.57	6.24	5.89		82818	5429		20.237	21.08		206567	
1971-02-01			139021	39.9	42.2	3.89	6.11	5.56		82885	5458		20.296	21.16		206762	
1971-03-01			139285	40	42.2	3.69	5.7	5		82866	5190		20.363	21.228		206960	
1971-04-01			139566	40.1	42.4	4.3	5.83	5.65		83116	4712		20.443	21.307		207163	
1971-05-01			139826	40.3	42.6	5.04	6.39	6.28		83344	4415		20.528	21.4		207361	
1971-06-01			140090	40.5	42.8	5.64	6.52	6.53		85228	5511		20.619	21.485		207562	
1971-07-01			140343	40.6	42.9	6.04	6.73	6.85		86296	5354		20.681	21.567		207771	
1971-08-01			140596	40.7	43	5.8	6.58	6.55		85984	5086		20.741	21.597		207998	
